Project_ID,Project_Name,Principal_Investigator,Department,Start_Date,End_Date,Budget,Progress,Research_Area,Status,Current_Phase,Review_Comments,Action_Items
PRJ-001,Research Project 1,나영석,전자공학과,2024-04-15,2025-08-19,146650000.0,52.0,양자컴퓨팅,준비중,검증,리뷰중,123.0
PRJ-002,Research Project 2,송태호,컴퓨터공학과,2024-07-17,2025-01-24,350880000.0,77.0,신소재,준비중,출원,리뷰 완료,
PRJ-003,Research Project 3,윤지현,화학과,2024-06-21,2026-01-24,321440000.0,31.0,바이오테크,완료,분석,,
PRJ-004,Research Project 4,강민서,컴퓨터공학과,2024-10-29,2025-08-11,402410000.0,79.0,양자컴퓨팅,중단,논문작성,,
PRJ-005,Research Project 5,강민서,물리학과,2024-07-24,2025-08-06,339960000.0,26.0,재생에너지,준비중,실험,,
PRJ-006,Research Project 6,정수진,생명과학부,2024-02-29,2024-12-13,435710000.0,3.0,양자컴퓨팅,검토중,분석,,
PRJ-007,Research Project 7,정수진,기계공학과,2024-07-21,2026-10-18,159020000.0,17.0,바이오테크,완료,특허출원,,
PRJ-008,Research Project 8,한소희,전자공학과,2024-08-04,2025-11-06,311630000.0,2.0,양자컴퓨팅,완료,실험,,
PRJ-009,Research Project 9,김지원,컴퓨터공학과,2024-03-23,2025-11-28,233320000.0,31.0,인공지능,중단,계획,,
PRJ-010,Research Project 10,김지원,화학과,2024-04-23,2025-03-06,240450000.0,34.0,로보틱스,중단,분석,,
PRJ-011,Research Project 11,임하늘,의학과,2024-01-07,2025-05-24,258460000.0,85.0,바이오테크,완료,검증,,
PRJ-012,Research Project 12,임하늘,의학과,2024-02-12,2026-06-01,240530000.0,73.0,양자컴퓨팅,진행중,논문작성,,
PRJ-013,Research Project 13,정수진,생명과학부,2024-09-16,2025-05-24,184370000.0,10.0,신소재,준비중,논문작성,,
PRJ-014,Research Project 14,최영호,의학과,2024-09-03,2025-08-23,172220000.0,77.0,바이오테크,완료,논문작성,,
PRJ-015,Research Project 15,한소희,의학과,2024-10-18,2024-12-06,328970000.0,80.0,신소재,검토중,검증,,
PRJ-016,Research Project 16,최영호,기계공학과,2024-04-29,2025-01-18,81650000.0,74.0,바이오테크,검토중,분석,,
PRJ-017,Research Project 17,최영호,물리학과,2024-03-20,2026-09-19,357630000.0,92.0,인공지능,검토중,논문작성,,
PRJ-018,Research Project 18,강민서,약학과,2024-07-14,2025-09-22,426410000.0,84.0,로보틱스,완료,데이터수집,,
PRJ-019,Research Project 19,임하늘,기계공학과,2024-01-05,2026-06-18,305730000.0,60.0,재생에너지,검토중,분석,,
PRJ-020,Research Project 20,김지원,기계공학과,2024-11-03,2026-05-27,248940000.0,65.0,신소재,중단,논문작성,,
PRJ-021,Research Project 21,김지원,화학과,2024-07-22,2026-10-15,481720000.0,96.0,신약개발,완료,데이터수집,,
PRJ-022,Research Project 22,임하늘,화학과,2024-10-12,2025-10-03,64210000.0,56.0,바이오테크,준비중,실험,,
PRJ-023,Research Project 23,정수진,의학과,2024-06-17,2026-02-03,142590000.0,86.0,신약개발,검토중,논문작성,,
PRJ-024,Research Project 24,김지원,기계공학과,2024-08-08,2025-11-12,187340000.0,85.0,인공지능,준비중,계획,,
PRJ-025,Research Project 25,윤지현,약학과,2024-01-18,2025-12-04,158520000.0,32.0,재생에너지,중단,실험,,
PRJ-026,Research Project 26,한소희,생명과학부,2024-04-09,2026-10-07,431480000.0,24.0,재생에너지,완료,검증,,
PRJ-027,Research Project 27,한소희,물리학과,2024-01-15,2025-11-10,423530000.0,57.0,바이오테크,진행중,실험,,
PRJ-028,Research Project 28,이성민,기계공학과,2024-05-24,2026-03-28,62050000.0,3.0,양자컴퓨팅,완료,계획,,
PRJ-029,Research Project 29,박도현,약학과,2024-08-24,2025-05-17,469840000.0,92.0,재생에너지,완료,데이터수집,,
PRJ-030,Research Project 30,이성민,컴퓨터공학과,2023-12-14,2026-07-28,364940000.0,9.0,바이오테크,준비중,계획,,
PRJ-031,Research Project 31,최영호,의학과,2024-02-14,2025-03-08,349200000.0,61.0,로보틱스,완료,계획,,
PRJ-032,Research Project 32,윤지현,약학과,2024-04-25,2026-01-06,305670000.0,18.0,재생에너지,준비중,데이터수집,,
PRJ-033,Research Project 33,최영호,생명과학부,2024-01-02,2025-03-24,454300000.0,73.0,나노기술,진행중,검증,,
PRJ-034,Research Project 34,정수진,의학과,2024-03-17,2026-05-03,336590000.0,70.0,신약개발,검토중,계획,,
PRJ-035,Research Project 35,정수진,약학과,2024-06-06,2026-08-28,130290000.0,48.0,신약개발,준비중,논문작성,,
PRJ-036,Research Project 36,최영호,컴퓨터공학과,2023-11-30,2026-03-05,494580000.0,36.0,로보틱스,검토중,실험,,
PRJ-037,Research Project 37,송태호,생명과학부,2024-04-13,2025-08-18,83030000.0,32.0,바이오테크,진행중,특허출원,,
PRJ-038,Research Project 38,김지원,전자공학과,2024-06-07,2026-02-04,363260000.0,3.0,양자컴퓨팅,중단,실험,,
PRJ-039,Research Project 39,정수진,전자공학과,2024-02-01,2026-01-21,321070000.0,41.0,바이오테크,검토중,계획,,
PRJ-040,Research Project 40,정수진,의학과,2024-09-17,2026-10-25,89110000.0,16.0,재생에너지,진행중,분석,,
PRJ-041,Research Project 41,한소희,생명과학부,2024-01-08,2026-07-19,161360000.0,100.0,재생에너지,완료,데이터수집,,
PRJ-042,Research Project 42,한소희,화학과,2024-05-03,2026-09-27,479210000.0,27.0,양자컴퓨팅,진행중,계획,,
PRJ-043,Research Project 43,이성민,의학과,2024-03-16,2025-05-14,457820000.0,14.0,나노기술,중단,분석,,
PRJ-044,Research Project 44,송태호,물리학과,2024-01-17,2026-01-16,474550000.0,89.0,인공지능,진행중,특허출원,,
PRJ-045,Research Project 45,한소희,의학과,2024-05-17,2026-10-21,132170000.0,69.0,로보틱스,완료,특허출원,,
PRJ-046,Research Project 46,정수진,기계공학과,2024-03-18,2026-01-12,458740000.0,93.0,인공지능,검토중,데이터수집,,
PRJ-047,Research Project 47,정수진,화학과,2024-10-05,2026-05-11,453560000.0,85.0,나노기술,진행중,계획,,
PRJ-048,Research Project 48,강민서,전자공학과,2024-01-23,2026-07-04,160010000.0,17.0,나노기술,준비중,분석,,
PRJ-049,Research Project 49,윤지현,전자공학과,2024-03-19,2026-10-10,61500000.0,47.0,양자컴퓨팅,준비중,분석,,
PRJ-050,Research Project 50,한소희,약학과,2024-08-02,2026-04-22,298210000.0,53.0,양자컴퓨팅,준비중,특허출원,,
